sku,categories,short_description,description,price,special_price,is_in_stock,additional_attributes,created_at,updated_at
Face rk series 1,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p>A contemporary home office can always benefit from a minimalist, abstract painting.Find beautiful Contemporary Painting for your home Space</p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""14000"",jd_trends_artist=""2"",prirority=""7""","7/10/21, 3:43 PM","5/13/22, 4:08 PM"
Animal love,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Indian Paintings,Default Category/Paintings/Indian Paintings/Traditional Art,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Portrait Painting that will take centre stage of your space""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Portrait Painting that will take centre stage of your space</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""30769"",jd_trends_artist=""2"",prirority=""3""","7/12/21, 11:22 AM","12/16/21, 3:09 PM"
scribbled girl,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Portrait Painting that will take centre stage of your space""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Portrait Painting that will take centre stage of your space</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""30769"",jd_trends_artist=""2"",prirority=""3""","7/12/21, 11:34 AM","12/16/21, 3:09 PM"
scribbled girl 1,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Portrait Painting that will take centre stage of your space""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Portrait Painting that will take centre stage of your space</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""36923"",jd_trends_artist=""2"",prirority=""5""","7/12/21, 11:35 AM","12/16/21, 3:09 PM"
scribble girl 3,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art","<p><span data-sheets-value=""{""1"":2,""2"":""Portrait Painting that will take centre stage of your space""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Portrait Painting that will take centre stage of your space</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""36923"",jd_trends_artist=""2"",prirority=""6""","7/12/21, 11:35 AM","12/29/23, 7:07 PM"
scribble girl 4,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Portrait Painting that will take centre stage of your space""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Portrait Painting that will take centre stage of your space</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""27000"",jd_trends_artist=""2"",prirority=""4""","7/12/21, 11:35 AM","12/16/21, 3:09 PM"
scribbled girl 2,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""unrevealed beauty in Portrait painting best suitable for living room""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">unrevealed beauty in Portrait painting best suitable for living room</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""82000"",jd_trends_artist=""2"",prirority=""4""","7/12/21, 11:41 AM","12/16/21, 3:10 PM"
scribbled girl 5,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Portrait Painting that will take centre stage of your space""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Portrait Painting that will take centre stage of your space</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""30769"",jd_trends_artist=""2"",prirority=""4""","7/12/21, 12:05 PM","12/16/21, 3:08 PM"
scribbled girl 6,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Portrait Painting that will take centre stage of your space""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Portrait Painting that will take centre stage of your space</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""30769"",jd_trends_artist=""2"",prirority=""5""","7/12/21, 12:08 PM","12/16/21, 3:09 PM"
scribbled girl 7,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Portrait Painting that will take centre stage of your space""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Portrait Painting that will take centre stage of your space</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""6000"",jd_trends_artist=""2"",prirority=""6""","7/12/21, 12:16 PM","12/29/23, 7:17 PM"
scribbled girl 8,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View",<p>Portrait Painting that will take centre stage of your space</p>,,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""6000"",jd_trends_artist=""2"",prirority=""1""","7/12/21, 12:17 PM","11/6/21, 10:31 PM"
scribbled girl 9,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Riverside Scenery Painting to create the look and feel of the original nature""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Riverside Scenery Painting to create the look and feel of the original nature</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""30769"",jd_trends_artist=""2"",prirority=""3""","7/12/21, 12:51 PM","12/16/21, 3:08 PM"
scribbled girl 10,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Riverside Scenery Painting to create the look and feel of the original nature""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Riverside Scenery Painting to create the look and feel of the original nature</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""35000"",jd_trends_artist=""2"",prirority=""3""","7/12/21, 12:51 PM","12/16/21, 3:08 PM"
scribbled girl 11,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Riverside Scenery Painting to create the look and feel of the original nature""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Riverside Scenery Painting to create the look and feel of the original nature</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""30769"",jd_trends_artist=""2"",prirority=""3""","7/12/21, 12:51 PM","12/16/21, 3:08 PM"
scribbled girl 12,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""unrevealed beauty in Portrait painting best suitable for living room""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">unrevealed beauty in Portrait painting best suitable for living room</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""30769"",jd_trends_artist=""2"",prirority=""1""","7/12/21, 2:18 PM","11/6/21, 10:31 PM"
scribbled girl 13,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""unrevealed beauty in Portrait painting best suitable for living room""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">unrevealed beauty in Portrait painting best suitable for living room</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""30769"",jd_trends_artist=""2"",prirority=""6""","7/12/21, 2:20 PM","12/29/23, 7:06 PM"
scribbled girl 14,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""unrevealed beauty in Portrait painting best suitable for living room""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">unrevealed beauty in Portrait painting best suitable for living room</span></p>",,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""58500"",jd_trends_artist=""2"",prirority=""3""","7/12/21, 2:21 PM","12/16/21, 3:08 PM"
scribbled girl 15,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View",<p>unrevealed beauty in Portrait painting best suitable for living room</p>,,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""30769"",jd_trends_artist=""2"",prirority=""5""","7/12/21, 2:22 PM","12/16/21, 3:07 PM"
scribbled girl 16,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Portrait Paintings,Default Category/Paintings/Style/Contemporary,Default Category/Paintings/Portrait Paintings/Lady Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View",<p>unrevealed beauty in Portrait painting best suitable for living room</p>,,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""30769"",jd_trends_artist=""2"",prirority=""5""","7/12/21, 2:24 PM","12/16/21, 3:08 PM"
